District,PanchayatSamiti,NameOfGramPanchyat,CategoryOfGramPanchyat
JODHPUR,KERU,Popavas,General
JODHPUR,KERU,Rohilakalan,SC
JODHPUR,KERU,Salody,OBC
BIKANER,KHAJUWALA,10 G M,SC (Woman)
BIKANER,KHAJUWALA,14 BD,General
BIKANER,KHAJUWALA,17 KHM,General
BIKANER,KHAJUWALA,17 KYD,General (Woman)
BIKANER,KHAJUWALA,2 KLD,SC (Woman)
BIKANER,KHAJUWALA,20 BD,OBC
BIKANER,KHAJUWALA,22 KYD,SC (Woman)
BIKANER,KHAJUWALA,25 KYD,OBC (Woman)
BIKANER,KHAJUWALA,2KWM,SC (Woman)
BIKANER,KHAJUWALA,3 PWM,SC
BIKANER,KHAJUWALA,34 KYD,SC
BIKANER,KHAJUWALA,4 AWM,SC
BIKANER,KHAJUWALA,40 KYD,OBC (Woman)
BIKANER,KHAJUWALA,5 KYD,General (Woman)
BIKANER,KHAJUWALA,7 PHM,General (Woman)
BIKANER,KHAJUWALA,8 KYD,SC (Woman)
BIKANER,KHAJUWALA,ANANDGARH,General
BIKANER,KHAJUWALA,Ava (8 AUUM),General
BIKANER,KHAJUWALA,BALLAR,General (Woman)
BIKANER,KHAJUWALA,BERIYANWALI,SC
BIKANER,KHAJUWALA,DANTORE,General (Woman)
BIKANER,KHAJUWALA,GULLUWALI,General (Woman)
BIKANER,KHAJUWALA,KHARWALI,General
BIKANER,KHAJUWALA,KUNDAL,General (Woman)
BIKANER,KHAJUWALA,LUNKHAN,General
BIKANER,KHAJUWALA,Madhodiggi (13 KJD),OBC
BIKANER,KHAJUWALA,NOSERA,General
BIKANER,KHAJUWALA,RANER 11 SLD,SC
BIKANER,KHAJUWALA,SANSARDESAR 3 RJD,General (Woman)
BIKANER,KHAJUWALA,SHERPURA 1SM,OBC
BIKANER,KHAJUWALA,SIYASAR CHOUGAN,General
RAJSAMAND,KHAMNOR,BHAISAKMED,SC (Woman)
RAJSAMAND,KHAMNOR,SHISHODA,General
RAJSAMAND,KHAMNOR,BADA BHAJUNA,ST (Woman)
RAJSAMAND,KHAMNOR,BAGOL,General
RAJSAMAND,KHAMNOR,BAMANHEDA,General
RAJSAMAND,KHAMNOR,BIJNOL,General
RAJSAMAND,KHAMNOR,DHAYALA,OBC (Woman)
RAJSAMAND,KHAMNOR,FATEHPUR,SC
RAJSAMAND,KHAMNOR,GAONGUDA,ST
RAJSAMAND,KHAMNOR,GUNJOL,OBC
RAJSAMAND,KHAMNOR,JHALO KI MADAR,ST
RAJSAMAND,KHAMNOR,KHAMNOR,General (Woman)
RAJSAMAND,KHAMNOR,KOSHIWARA,SC
RAJSAMAND,KHAMNOR,KOTHARIYA,General
RAJSAMAND,KHAMNOR,KUOTHWA,OBC
RAJSAMAND,KHAMNOR,MACHIND,ST (Woman)
RAJSAMAND,KHAMNOR,MOLELA,General (Woman)
RAJSAMAND,KHAMNOR,NAMANA,General (Woman)
RAJSAMAND,KHAMNOR,SAGROON,ST (Woman)
RAJSAMAND,KHAMNOR,SALODA,ST
RAJSAMAND,KHAMNOR,SAYON KA KHEDA,General (Woman)
RAJSAMAND,KHAMNOR,SEMA,General
RAJSAMAND,KHAMNOR,TANTOL,General (Woman)
RAJSAMAND,KHAMNOR,UNWAS,General (Woman)
RAJSAMAND,KHAMNOR,UTHARDA,General (Woman)
S. MADHOPUR,KHANDAR,AKSHAYGARH,General
S. MADHOPUR,KHANDAR,ALLAPUR,SC (Woman)
S. MADHOPUR,KHANDAR,ANIYALA,General (Woman)
S. MADHOPUR,KHANDAR,BAHARAVANDA KHURD,SC (Woman)
S. MADHOPUR,KHANDAR,BAHRAWADA KALAN,General
S. MADHOPUR,KHANDAR,BALER,ST (Woman)
S. MADHOPUR,KHANDAR,BARNAVADA,General
S. MADHOPUR,KHANDAR,BICHPURI GUJRAN,General (Woman)
S. MADHOPUR,KHANDAR,CHHAN,SC (Woman)
S. MADHOPUR,KHANDAR,CHITARA,General (Woman)
S. MADHOPUR,KHANDAR,DAULATPURA,General
S. MADHOPUR,KHANDAR,DUMODA,General (Woman)
S. MADHOPUR,KHANDAR,GANDAWAR,General
S. MADHOPUR,KHANDAR,GOTH BIHARI,General (Woman)
S. MADHOPUR,KHANDAR,GOTHRA,General (Woman)
S. MADHOPUR,KHANDAR,Halonda,ST
S. MADHOPUR,KHANDAR,KHANDAR,SC
S. MADHOPUR,KHANDAR,KHANDEVALA,SC
S. MADHOPUR,KHANDAR,Khidpur Jadone,General (Woman)
S. MADHOPUR,KHANDAR,KOSRA CHHARETA,General (Woman)
S. MADHOPUR,KHANDAR,KUREDI,OBC
S. MADHOPUR,KHANDAR,KYARDA KALAN,SC
S. MADHOPUR,KHANDAR,LAHESORA,SC (Woman)
S. MADHOPUR,KHANDAR,MAIKALA,General
S. MADHOPUR,KHANDAR,NAYAPUR,SC (Woman)
S. MADHOPUR,KHANDAR,PALI,ST
S. MADHOPUR,KHANDAR,PHALODI,General
S. MADHOPUR,KHANDAR,RAMPURA,General (Woman)
S. MADHOPUR,KHANDAR,RODAVAD,OBC (Woman)
S. MADHOPUR,KHANDAR,SINGORKALA,SC
S. MADHOPUR,KHANDAR,TALAWARA,SC
S. MADHOPUR,KHANDAR,TODARA,OBC
SIKAR,KHANDELA,Aabhawas,General (Woman)
SIKAR,KHANDELA,BARSINGH PURA,General
SIKAR,KHANDELA,BASDI,General (Woman)
SIKAR,KHANDELA,BAVWADI,OBC (Woman)
SIKAR,KHANDELA,BHADWADI,OBC (Woman)
SIKAR,KHANDELA,CHOKADI,General (Woman)
SIKAR,KHANDELA,Chomu Purohitan,OBC (Woman)
SIKAR,KHANDELA,Dadiya Rampura,OBC
SIKAR,KHANDELA,DHALYAWAS,General
SIKAR,KHANDELA,DHANI GUMAN SINGH,General (Woman)
SIKAR,KHANDELA,DOODHWALO KA BAS,SC
SIKAR,KHANDELA,DULHEPURA,General (Woman)
SIKAR,KHANDELA,Garhbhopji,SC (Woman)
SIKAR,KHANDELA,GOKUL KA BAS,General (Woman)
SIKAR,KHANDELA,GOVINDPURA,SC
SIKAR,KHANDELA,GURARA,General
SIKAR,KHANDELA,JAIRAMPURA,General (Woman)
SIKAR,KHANDELA,jaitusar,General
SIKAR,KHANDELA,JAJOD,General
SIKAR,KHANDELA,JUGALPURA,ST
SIKAR,KHANDELA,KASARDA,SC
SIKAR,KHANDELA,KAWANT,OBC
SIKAR,KHANDELA,KERPURA,General
SIKAR,KHANDELA,KHATUNDARA,General
SIKAR,KHANDELA,Kotari Dhaylan,General (Woman)
SIKAR,KHANDELA,KOTDI LUHARWAS,General
SIKAR,KHANDELA,LAKHANI,General
SIKAR,KHANDELA,Lanpua,General (Woman)
SIKAR,KHANDELA,LOHARWADA,ST (Woman)
SIKAR,KHANDELA,Malakali,OBC
SIKAR,KHANDELA,MALIKPUR,SC (Woman)
SIKAR,KHANDELA,Mehero Ki Dhani,OBC (Woman)
SIKAR,KHANDELA,NEEMEDA,General
SIKAR,KHANDELA,PANAHIARIWAS,General
SIKAR,KHANDELA,patwari ka bas,General (Woman)
SIKAR,KHANDELA,Piplod Ka Bass,SC
SIKAR,KHANDELA,RALAWATA,OBC
SIKAR,KHANDELA,RAMPURA (KHANDELA),General
SIKAR,KHANDELA,ROYAL,General (Woman)
SIKAR,KHANDELA,Sargoth,General
SIKAR,KHANDELA,SAWAIPURA PUJARI KA BAS,SC (Woman)
SIKAR,KHANDELA,SUJANA,General (Woman)
SIKAR,KHANDELA,Tapiplya,General (Woman)
SIKAR,KHANDELA,THIKARIA GAJSINGHPURA,General (Woman)
JHALAWAR,KHANPUR,AAKODIA,General
JHALAWAR,KHANPUR,AKAVAD KHURD,General (Woman)
JHALAWAR,KHANPUR,BAGHER,ST (Woman)
JHALAWAR,KHANPUR,BAISAR,SC
JHALAWAR,KHANPUR,BAREDA,ST
JHALAWAR,KHANPUR,BHAGWANPURA,ST (Woman)
JHALAWAR,KHANPUR,BISHANKHEDI,SC
JHALAWAR,KHANPUR,BORDA MAU,ST
JHALAWAR,KHANPUR,DHAIKHEDA,OBC (Woman)
JHALAWAR,KHANPUR,DHANODA KALA,General (Woman)
JHALAWAR,KHANPUR,DOBDA,OBC (Woman)
JHALAWAR,KHANPUR,GADERVADA DUNDI,SC (Woman)
JHALAWAR,KHANPUR,GADERVADA NOORJI,General (Woman)
JHALAWAR,KHANPUR,GOLANA,General
JHALAWAR,KHANPUR,HARIGARH,SC
JHALAWAR,KHANPUR,JARGA,General (Woman)
JHALAWAR,KHANPUR,JOLPA,SC (Woman)
JHALAWAR,KHANPUR,KANVALDA,General (Woman)
JHALAWAR,KHANPUR,KANWARPURA MANDVALAN,SC (Woman)
JHALAWAR,KHANPUR,KARANVAS,ST
JHALAWAR,KHANPUR,KHANDI,General
JHALAWAR,KHANPUR,KHANPUR,General (Woman)
JHALAWAR,KHANPUR,KHEDA,General (Woman)
JHALAWAR,KHANPUR,LAYPHAL,OBC
JHALAWAR,KHANPUR,LIMI,ST (Woman)
JHALAWAR,KHANPUR,MALANVASA,General
JHALAWAR,KHANPUR,MARAYATA,General (Woman)
JHALAWAR,KHANPUR,MODI BHEEMSAGAR,General
JHALAWAR,KHANPUR,MUNDLA,OBC (Woman)
JHALAWAR,KHANPUR,PAKHRANA,OBC
JHALAWAR,KHANPUR,PANVAD,General
JHALAWAR,KHANPUR,PIPLAJ,General
JHALAWAR,KHANPUR,SAROLA KALAN,General
JHALAWAR,KHANPUR,SERKHANDIYA,General
JHALAWAR,KHANPUR,SHYONAGAR URF DHANI,OBC
JHALAWAR,KHANPUR,SOJPUR,SC
JHALAWAR,KHANPUR,SUMAR,General (Woman)
JHALAWAR,KHANPUR,TARAJ,General (Woman)
KOTA,KHERABAD,ALOD,SC
KOTA,KHERABAD,ARNIYAKALAN,General (Woman)
KOTA,KHERABAD,Askali,General
KOTA,KHERABAD,BADOLIYA KALAN,SC
KOTA,KHERABAD,BUDDHKHAN,SC (Woman)
KOTA,KHERABAD,CHECHAT,OBC (Woman)
KOTA,KHERABAD,DEVLIKALAN,General (Woman)
KOTA,KHERABAD,DEVLIKHURD,General
KOTA,KHERABAD,DHARNAVAD,General (Woman)
KOTA,KHERABAD,GADIYA,SC (Woman)
KOTA,KHERABAD,GHATOLI,ST (Woman)
KOTA,KHERABAD,GOYANDA,General (Woman)
KOTA,KHERABAD,HATHIYAKHEDI,General (Woman)
KOTA,KHERABAD,HERIYA KHEDI,General (Woman)
KOTA,KHERABAD,JULMI,SC (Woman)
KOTA,KHERABAD,KHAIRABAD,OBC
KOTA,KHERABAD,KHEDARUDHA,ST
KOTA,KHERABAD,KHEDLI,General
KOTA,KHERABAD,KHIMACH,SC
KOTA,KHERABAD,KUDAYALA,General (Woman)
KOTA,KHERABAD,KUKDA KHURD,General
KOTA,KHERABAD,KUMBHKOT,General
KOTA,KHERABAD,LAKHARIYA,General
KOTA,KHERABAD,LAXMIPURA,General
KOTA,KHERABAD,MADANPURA,OBC (Woman)
KOTA,KHERABAD,MANDA,General (Woman)
KOTA,KHERABAD,MODAK GAON,General (Woman)
KOTA,KHERABAD,PIPAKHEDI,SC (Woman)
KOTA,KHERABAD,PIPALDA,SC
KOTA,KHERABAD,RICHHDIYA,SC (Woman)
KOTA,KHERABAD,SAHARVADA,General
KOTA,KHERABAD,SALAVADKHURD,General
KOTA,KHERABAD,SALEDAKHURD,ST (Woman)
KOTA,KHERABAD,SATLKHEDI,OBC
KOTA,KHERABAD,SUKET,SC
KOTA,KHERABAD,UDPURA MODAK STATION,SC
KOTA,KHERABAD,UNDAWA,General
UDAIPUR,KHERWARA,BADLA,ST
UDAIPUR,KHERWARA,BANJARIA,ST (Woman)
UDAIPUR,KHERWARA,BAROTHI BHILAN,ST
UDAIPUR,KHERWARA,BAROTHI BRAHMAN,ST (Woman)
UDAIPUR,KHERWARA,BAVALVADA,ST (Woman)
UDAIPUR,KHERWARA,BAYADI,ST
UDAIPUR,KHERWARA,BHANDA,ST
UDAIPUR,KHERWARA,Bhankhra,ST (Woman)
UDAIPUR,KHERWARA,Bhatki,ST (Woman)
UDAIPUR,KHERWARA,DHIKWAS,ST
UDAIPUR,KHERWARA,Heeka,ST
UDAIPUR,KHERWARA,JAWAS,ST
UDAIPUR,KHERWARA,Jhuthari,ST (Woman)
UDAIPUR,KHERWARA,KANPUR,ST
UDAIPUR,KHERWARA,KARCHHAKALA,ST (Woman)
UDAIPUR,KHERWARA,Karnauva,ST
UDAIPUR,KHERWARA,Katar,ST
UDAIPUR,KHERWARA,KATARWAS,ST (Woman)
UDAIPUR,KHERWARA,KHANDIOVARI,ST
UDAIPUR,KHERWARA,KHANMEEN,ST
UDAIPUR,KHERWARA,KHERWADA,ST (Woman)
UDAIPUR,KHERWARA,LARATHI,ST
UDAIPUR,KHERWARA,Magra,ST (Woman)
UDAIPUR,KHERWARA,NAVAGHARA,ST
UDAIPUR,KHERWARA,Palsiya,ST (Woman)
UDAIPUR,KHERWARA,Parbeela,ST
UDAIPUR,KHERWARA,Pograkla,ST (Woman)
UDAIPUR,KHERWARA,SAROLI,ST (Woman)
UDAIPUR,KHERWARA,SUBARI,ST (Woman)
UDAIPUR,KHERWARA,SULAI,ST
UDAIPUR,KHERWARA,SUNDRA,ST (Woman)
UDAIPUR,KHERWARA,Vagpur,ST (Woman)
JHUNJHUNU,KHETRI,BABAI,SC (Woman)
JHUNJHUNU,KHETRI,BANKOTI,SC (Woman)
JHUNJHUNU,KHETRI,BANSIYAL,OBC
JHUNJHUNU,KHETRI,BARAU,SC
JHUNJHUNU,KHETRI,BASAI,General (Woman)
JHUNJHUNU,KHETRI,BEELAVA,OBC (Woman)
JHUNJHUNU,KHETRI,Besarda,OBC
JHUNJHUNU,KHETRI,CHARAWAS,General (Woman)
JHUNJHUNU,KHETRI,DADA FATEHAPURA,General (Woman)
JHUNJHUNU,KHETRI,DALELPURA,OBC (Woman)
JHUNJHUNU,KHETRI,DEVATA,OBC
JHUNJHUNU,KHETRI,DOODHWA NANGLIYA,General (Woman)
JHUNJHUNU,KHETRI,GADRATA,General (Woman)
JHUNJHUNU,KHETRI,GORIR,General (Woman)
JHUNJHUNU,KHETRI,GOTHRA,General (Woman)
JHUNJHUNU,KHETRI,HARDIYA,ST
JHUNJHUNU,KHETRI,JASRAPUR,General
JHUNJHUNU,KHETRI,KALOTA,General (Woman)
JHUNJHUNU,KHETRI,KANKARIYA,General
JHUNJHUNU,KHETRI,KHARKHARA,General
JHUNJHUNU,KHETRI,LOYAL,General
JHUNJHUNU,KHETRI,MADHOGARH,General
JHUNJHUNU,KHETRI,MANDRI,General (Woman)
JHUNJHUNU,KHETRI,MANOTA (JATAN),SC
JHUNJHUNU,KHETRI,MANOTA KALAN,General
JHUNJHUNU,KHETRI,MEHARA JATOOWAS,General (Woman)
JHUNJHUNU,KHETRI,NALPUR,General (Woman)
JHUNJHUNU,KHETRI,NANGALIYA GUJARWAS,General
JHUNJHUNU,KHETRI,NANGLI SALEDISIGNH,General
JHUNJHUNU,KHETRI,NANOOWALI BAORI,General
JHUNJHUNU,KHETRI,NORANGPURA,General (Woman)
JHUNJHUNU,KHETRI,PAPURANA,OBC (Woman)
JHUNJHUNU,KHETRI,RAJOTA,OBC
JHUNJHUNU,KHETRI,Ramkumarpura,OBC (Woman)
JHUNJHUNU,KHETRI,RASOOLPUR,General
JHUNJHUNU,KHETRI,RAWAN,General (Woman)
JHUNJHUNU,KHETRI,Sanjay Nagar,OBC
JHUNJHUNU,KHETRI,SEPHARA GUNWAR,General
JHUNJHUNU,KHETRI,SHIMLA,SC (Woman)
JHUNJHUNU,KHETRI,SIHOR,SC
JHUNJHUNU,KHETRI,TATEEJA,General
JHUNJHUNU,KHETRI,THATHWARI,General
JHUNJHUNU,KHETRI,TIBA,General (Woman)
JHUNJHUNU,KHETRI,TYONDA,General (Woman)
NAGAUR,KHINWASAR,AACHINA,General
NAGAUR,KHINWASAR,AANKALA,OBC (Woman)
NAGAUR,KHINWASAR,BERTHALKALA,General (Woman)
NAGAUR,KHINWASAR,BHAVANDA,SC (Woman)
NAGAUR,KHINWASAR,BHED,General
NAGAUR,KHINWASAR,BHOJAS,General
NAGAUR,KHINWASAR,BHOMASAR,General (Woman)
NAGAUR,KHINWASAR,BHUNDEL,General
NAGAUR,KHINWASAR,BIRLOKA,SC (Woman)
NAGAUR,KHINWASAR,CHAVANDIYA,General (Woman)
NAGAUR,KHINWASAR,DATINA,SC
NAGAUR,KHINWASAR,DEU,OBC (Woman)
NAGAUR,KHINWASAR,DHINGSARA,OBC
NAGAUR,KHINWASAR,GUDHA BHAWANDAS,General (Woman)
NAGAUR,KHINWASAR,KANTIYA,General (Woman)
NAGAUR,KHINWASAR,KARNU,General
NAGAUR,KHINWASAR,KHATODA,General
NAGAUR,KHINWASAR,KHEEVSAR,General (Woman)
NAGAUR,KHINWASAR,Khundala,General (Woman)
NAGAUR,KHINWASAR,KURDCHEE,General (Woman)
NAGAUR,KHINWASAR,LALAWAS,OBC (Woman)
NAGAUR,KHINWASAR,MADPURA,General
NAGAUR,KHINWASAR,NANGDI,OBC
NAGAUR,KHINWASAR,NARWAKALAN,General (Woman)
NAGAUR,KHINWASAR,PABUSAR,SC
NAGAUR,KHINWASAR,PANCHALA SIDDHA,General
NAGAUR,KHINWASAR,PANCHODI,General (Woman)
NAGAUR,KHINWASAR,Papasani,OBC
NAGAUR,KHINWASAR,PIPLIYA,OBC
NAGAUR,KHINWASAR,Saatika Khurd,SC
NAGAUR,KHINWASAR,TANKLA,General
NAGAUR,KHINWASAR,TATWAS,SC (Woman)
NAGAUR,KHINWASAR,BERAWAS,SC
NAGAUR,KHINWASAR,DEHRU,General
NAGAUR,KHINWASAR,LALAP,SC (Woman)
BARAN,KISHANGANJ,AASNAWAR,General (Woman)
BARAN,KISHANGANJ,BADIPURA,General (Woman)
BARAN,KISHANGANJ,BAJARANG GARH,General
BARAN,KISHANGANJ,BAKANPURA,General
BARAN,KISHANGANJ,Bandakhurd,ST (Woman)
BARAN,KISHANGANJ,BANSTHUNI,General (Woman)
BARAN,KISHANGANJ,BARUNI,General
BARAN,KISHANGANJ,BHANWARGARH,ST (Woman)
BARAN,KISHANGANJ,BOILASGARH,SC (Woman)
BARAN,KISHANGANJ,BRAJNAGAR,General (Woman)
BARAN,KISHANGANJ,CHATRAGANJ,General
BARAN,KISHANGANJ,CHEENOD,General (Woman)
BARAN,KISHANGANJ,DEEGODPAR,General (Woman)
BARAN,KISHANGANJ,Faldi,ST
BARAN,KISHANGANJ,GANESHPURA,SC
BARAN,KISHANGANJ,GARDA,ST
BARAN,KISHANGANJ,GHATTI,SC
BARAN,KISHANGANJ,JALWARA,ST (Woman)
BARAN,KISHANGANJ,Kaglabamori,ST (Woman)
BARAN,KISHANGANJ,KANKDARA,General (Woman)
BARAN,KISHANGANJ,KARWARI KALAN,SC
BARAN,KISHANGANJ,Khalda,ST
BARAN,KISHANGANJ,KHANDELA,SC (Woman)
BARAN,KISHANGANJ,KHAYAVDA,General
BARAN,KISHANGANJ,KISHANGARJ,ST
BARAN,KISHANGANJ,NAHARGARH,ST
BARAN,KISHANGANJ,Pachalavada,ST
BARAN,KISHANGANJ,PARANIYA,General (Woman)
BARAN,KISHANGANJ,Pinjana,General
BARAN,KISHANGANJ,PIPALDA KALAN,General (Woman)
BARAN,KISHANGANJ,RAMGARH,General (Woman)
BARAN,KISHANGANJ,RAMPURAI TODIYA,General (Woman)
BARAN,KISHANGANJ,RANIBADOD,ST (Woman)
BARAN,KISHANGANJ,RELAWAN,General
BARAN,KISHANGANJ,SAKARAWADA,OBC
BARAN,KISHANGANJ,SEEMLOD,ST
BARAN,KISHANGANJ,SEWANI,General
BARAN,KISHANGANJ,Shobhagpura,General
BARAN,KISHANGANJ,SUNWAS,ST (Woman)
AJMER,KISHANGARH,AMARPURA,OBC (Woman)
AJMER,KISHANGARH,BANDARSINDRI,SC (Woman)
AJMER,KISHANGARH,BARNA,SC
AJMER,KISHANGARH,BHADUN,General (Woman)
AJMER,KISHANGARH,Bhilawat,SC (Woman)
AJMER,KISHANGARH,BUHARU,General
AJMER,KISHANGARH,DEEDWARA,General (Woman)
AJMER,KISHANGARH,HARMADA,General (Woman)
AJMER,KISHANGARH,JAJOTA,General (Woman)
AJMER,KISHANGARH,KADHA,OBC (Woman)
AJMER,KISHANGARH,KARKERI,General
AJMER,KISHANGARH,KHATOLI,OBC
AJMER,KISHANGARH,KOTDI,General (Woman)
AJMER,KISHANGARH,KUCHEEL,OBC
AJMER,KISHANGARH,MALIYON KI BARI,General (Woman)
AJMER,KISHANGARH,Motipura,SC
AJMER,KISHANGARH,NALOO,General (Woman)
AJMER,KISHANGARH,NOSAL,SC (Woman)
AJMER,KISHANGARH,NWAN,General (Woman)
AJMER,KISHANGARH,PANER,OBC (Woman)
AJMER,KISHANGARH,PATAN,General (Woman)
AJMER,KISHANGARH,PEENGLOD,General
AJMER,KISHANGARH,RALAWATA,General
AJMER,KISHANGARH,ROOPANGARH,General
AJMER,KISHANGARH,SALEMABAD,SC
AJMER,KISHANGARH,SARGAON,SC
AJMER,KISHANGARH,SILORA,OBC
AJMER,KISHANGARH,SINODIYA,OBC
AJMER,KISHANGARH,SURSURA,General (Woman)
AJMER,KISHANGARH,THAL,General
AJMER,KISHANGARH,TIKAWADA,General
AJMER,KISHANGARH,TILONIYA,General
AJMER,KISHANGARH,TYOD,General
JAIPUR,KISHANGARH RENWAL,Mundali Ranjitpura,ST
JAIPUR,KISHANGARH RENWAL,Anatpura,General
JAIPUR,KISHANGARH RENWAL,Badhal,General
JAIPUR,KISHANGARH RENWAL,Badhawas,SC
JAIPUR,KISHANGARH RENWAL,Basadi Khurd,OBC
JAIPUR,KISHANGARH RENWAL,Bhadwa,General (Woman)
JAIPUR,KISHANGARH RENWAL,Bhaisala,General (Woman)
JAIPUR,KISHANGARH RENWAL,DHINDA,OBC (Woman)
JAIPUR,KISHANGARH RENWAL,Dungarsi Ka Bas,General (Woman)
JAIPUR,KISHANGARH RENWAL,DYODI,SC (Woman)
JAIPUR,KISHANGARH RENWAL,Etawah,General
JAIPUR,KISHANGARH RENWAL,Harsauli,General (Woman)
JAIPUR,KISHANGARH RENWAL,Kabro Ka Bass,SC (Woman)
JAIPUR,KISHANGARH RENWAL,Khedimilk,General (Woman)
JAIPUR,KISHANGARH RENWAL,Lalasar,OBC
JAIPUR,KISHANGARH RENWAL,Luniawas,General (Woman)
JAIPUR,KISHANGARH RENWAL,Malikpura,SC
JAIPUR,KISHANGARH RENWAL,Mandabhim Singh,General
JAIPUR,KISHANGARH RENWAL,Mundiagarh,General (Woman)
JAIPUR,KISHANGARH RENWAL,Mundotiya,General
JAIPUR,KISHANGARH RENWAL,Nandri,OBC (Woman)
JAIPUR,KISHANGARH RENWAL,Pachkodia,General (Woman)
JAIPUR,KISHANGARH RENWAL,Ramjipura Kanla,General
JAIPUR,KISHANGARH RENWAL,Rlavta,General
JAIPUR,KISHANGARH RENWAL,Sundo Ka Bass,OBC
ALWAR,KISHANGARHBAS,BAGHERIKALAN,General
ALWAR,KISHANGARHBAS,BAGHUDA,General (Woman)
ALWAR,KISHANGARHBAS,BAHADERPUR,General
ALWAR,KISHANGARHBAS,BAHADERPUR PATTI,General (Woman)
ALWAR,KISHANGARHBAS,Ballabhgram,OBC (Woman)
ALWAR,KISHANGARHBAS,BAMBORA,General
ALWAR,KISHANGARHBAS,BHAJEDA,General
ALWAR,KISHANGARHBAS,BRSINGPUR,General
ALWAR,KISHANGARHBAS,Chamroda,SC
ALWAR,KISHANGARHBAS,CHIKANI,General (Woman)
ALWAR,KISHANGARHBAS,Chorbasai,OBC (Woman)
ALWAR,KISHANGARHBAS,Dongda,OBC
ALWAR,KISHANGARHBAS,Ghamukad,OBC
ALWAR,KISHANGARHBAS,GHASOLI,General (Woman)
ALWAR,KISHANGARHBAS,ISMAILPUR,General
ALWAR,KISHANGARHBAS,Jajor,SC
ALWAR,KISHANGARHBAS,Jilota,OBC
ALWAR,KISHANGARHBAS,KARULI,General
ALWAR,KISHANGARHBAS,KHANPURMEWAN,SC (Woman)
ALWAR,KISHANGARHBAS,Kheda,SC
ALWAR,KISHANGARHBAS,KITHUR,General
ALWAR,KISHANGARHBAS,KOLGAON,SC (Woman)
ALWAR,KISHANGARHBAS,LANGADBAS,General
ALWAR,KISHANGARHBAS,MACHHROLI,General (Woman)
ALWAR,KISHANGARHBAS,MAHONDA,General (Woman)
ALWAR,KISHANGARHBAS,MANCHA,General
ALWAR,KISHANGARHBAS,MEHERMPUR,General (Woman)
ALWAR,KISHANGARHBAS,Miraka,OBC
ALWAR,KISHANGARHBAS,Mothuka,OBC (Woman)
ALWAR,KISHANGARHBAS,MUSAKHEDA,General
ALWAR,KISHANGARHBAS,NURNAGAR,General (Woman)
ALWAR,KISHANGARHBAS,Odara,SC
ALWAR,KISHANGARHBAS,PATANMEWAN,General (Woman)
ALWAR,KISHANGARHBAS,RATAKHURD,General (Woman)
ALWAR,KISHANGARHBAS,Tahanoli,OBC
ALWAR,KISHANGARHBAS,TERWALA,General (Woman)
ALWAR,KISHANGARHBAS,Zhirindia,SC (Woman)
BIKANER,KOLAYAT,AKKASAR,SC
BIKANER,KOLAYAT,BHANEKA GAON,General (Woman)
BIKANER,KOLAYAT,BHELU,General
BIKANER,KOLAYAT,BHOLASAR,General (Woman)
BIKANER,KOLAYAT,BITHNOK,General (Woman)
BIKANER,KOLAYAT,Chak Bandha No. 1 - Sankhla basti,General
BIKANER,KOLAYAT,CHAK VIJAYSINGHPURA,OBC
BIKANER,KOLAYAT,CHANDASAR,SC
BIKANER,KOLAYAT,CHANI,SC (Woman)
BIKANER,KOLAYAT,Dasauri,General
BIKANER,KOLAYAT,Devdo Ki Dhani,OBC (Woman)
BIKANER,KOLAYAT,DIYATRA,General
BIKANER,KOLAYAT,GAJNER,General
BIKANER,KOLAYAT,Gangapura,General (Woman)
BIKANER,KOLAYAT,GARIYALA,General
BIKANER,KOLAYAT,GIRAJSAR,General (Woman)
BIKANER,KOLAYAT,GOVINDSAR,OBC (Woman)
BIKANER,KOLAYAT,GUDA,SC (Woman)
BIKANER,KOLAYAT,Hadan,OBC (Woman)
BIKANER,KOLAYAT,HADLA BHATIYAN,General (Woman)
BIKANER,KOLAYAT,JHAJHU,SC
BIKANER,KOLAYAT,KHAARIYA MALLINATH,General
BIKANER,KOLAYAT,Khakhusar,OBC
BIKANER,KOLAYAT,KHARI CHARNAN,OBC
BIKANER,KOLAYAT,Khariya Patavatan,OBC
BIKANER,KOLAYAT,KHINDASAR,General (Woman)
BIKANER,KOLAYAT,KOLAYAT,SC (Woman)
BIKANER,KOLAYAT,KOTARI,SC
BIKANER,KOLAYAT,LAMBAANA BHATIYAAN,General (Woman)
BIKANER,KOLAYAT,Madh,SC (Woman)
BIKANER,KOLAYAT,MANDAL CHARNAN,SC
BIKANER,KOLAYAT,NAAIYON KI BASTI,SC (Woman)
BIKANER,KOLAYAT,Nandada,OBC (Woman)
BIKANER,KOLAYAT,Nenia,SC
BIKANER,KOLAYAT,NOKHARA,SC (Woman)
BIKANER,KOLAYAT,PETHDO KI DHANI,General (Woman)
BIKANER,KOLAYAT,Raavneri,General
BIKANER,KOLAYAT,Ranasar,General (Woman)
BIKANER,KOLAYAT,Randhisar,General
BIKANER,KOLAYAT,SIMBHU KA BURJ,General
BIKANER,KOLAYAT,SIYANA BADA,General
BIKANER,KOLAYAT,SURAJDA,General (Woman)
BIKANER,KOLAYAT,TOKLA,SC
UDAIPUR,KOTDA,Rujiya Khuna,ST (Woman)
UDAIPUR,KOTDA,TEJA KA WAS,ST (Woman)
UDAIPUR,KOTDA,BADALI,ST (Woman)
